RELI;GMDE;HIST_GMDE;E_KOORD;N_KOORD;B22BTOT;B22B11;B22B12;B22B13;B22B14;B22B15;B22B16;B22B21;B22B22;B22B23;B22B24;B22B25;B22B26;B22B27;B22B28;B22B29;B22B30;B22BMTOT;B22BM01;B22BM02;B22BM03;B22BM04;B22BM05;B22BM06;B22BM07;B22BM08;B22BM09;B22BM10;B22BM11;B22BM12;B22BM13;B22BM14;B22BM15;B22BM16;B22BM17;B22BM18;B22BM19;B22BWTOT;B22BW01;B22BW02;B22BW03;B22BW04;B22BW05;B22BW06;B22BW07;B22BW08;B22BW09;B22BW10;B22BW11;B22BW12;B22BW13;B22BW14;B22BW15;B22BW16;B22BW17;B22BW18;B22BW19;B22B41;B22B42;B22B43;B22B44;B22B45;B22B46;B22B51;B22B52;B22B53;B22B54;B22B55;B22B56;H22PTOT;H22P01;H22P02;H22P03;H22P04;H22P05;H22P06;H22PI
69362687;31;12240;2693600;1268700;25;24;3;3;0;0;0;20;3;9;10;0;5;4;0;3;0;8;3;0;0;0;0;0;0;0;3;0;0;0;3;0;3;0;3;3;3;17;0;0;0;0;0;0;3;3;0;0;3;0;3;0;3;3;4;3;3;4;3;3;18;3;0;21;0;4;0;0;0;3;0;0;0;3;0;0;1
69362728;33;12699;2693600;1272800;17;17;0;0;0;0;0;14;0;8;6;0;3;0;3;3;0;5;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;0;3;3;0;12;0;0;0;0;0;0;0;0;0;3;3;3;0;0;3;3;3;4;3;0;3;3;13;3;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0
69382354;159;13259;2693800;1235400;23;20;3;3;0;0;0;17;0;13;4;0;6;4;0;3;0;11;0;0;0;0;3;3;3;0;3;0;3;0;3;3;3;0;0;3;3;12;0;0;0;0;0;0;0;0;0;0;3;0;3;3;3;3;3;3;3;0;3;3;14;3;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0
69392178;1370;12853;2693900;1217800;16;16;0;0;0;0;0;16;7;6;3;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;3;3;9;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;3;3;3;0;0;0;9;7;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0
69401369;5323;14497;2694000;1136900;4;4;0;0;0;0;0;4;3;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;3;3;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
69411829;1216;12985;2694100;1182900;23;22;3;3;0;0;0;22;16;3;3;0;3;3;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;13;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;4;0;0;3;10;12;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0
69422537;296;15671;2694200;1253700;73;67;6;3;3;3;0;63;3;43;17;0;10;3;3;7;0;37;3;0;0;0;3;3;3;6;3;3;3;3;4;3;3;5;3;3;0;36;0;3;0;0;3;0;4;3;3;0;3;3;5;3;3;3;6;4;5;3;8;7;46;10;0;71;3;3;0;0;0;0;0;0;0;0;0;0;0
69432710;21;11735;2694300;1271000;8;8;0;0;0;0;0;7;3;3;3;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;0;3;0;7;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0
69432771;40;10898;2694300;1277100;8;8;0;0;0;0;0;7;0;4;3;0;3;3;0;0;0;3;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;3;3;0;3;3;0;3;6;0;0;7;3;0;0;0;0;0;0;0;0;0;0;0;0
69472396;192;12123;2694700;1239600;58;54;4;3;0;3;0;47;0;26;21;0;11;5;3;4;0;25;0;0;0;0;0;3;3;0;3;3;3;4;5;3;3;3;3;0;3;33;0;0;0;0;0;0;0;3;3;3;3;3;3;0;3;4;6;3;8;0;7;6;42;3;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0
